name,case,nodes,seed,official_graph,epoch,graph_distance,pairs,latent_mean,latent_sd,normalized_mean,normalized_within_bucket_sd
local1000,random64_seed2,64,2,False,20,7,200,10.434697920033866,0.8695467143055734,2.745780576674742,0.22881203624185373
local1000,random64_seed2,64,2,False,20,8,86,11.173226016675496,0.7321829908410079,2.940116447116555,0.19266622284896345
local1000,random64_seed2,64,2,False,20,9,12,12.08936930149705,0.9389569383552081,3.1811898788720048,0.24707660379126203
local1000,random128_seed0,128,0,False,0,1,197,44.96861667808781,0.9492701526494125,1.0,0.021109614277104734
local1000,random128_seed0,128,0,False,0,2,441,44.86761160931254,1.012759083115617,0.9977538764534758,0.022521464032695306
local1000,random128_seed0,128,0,False,0,3,928,44.92098567617923,0.9963626175307516,0.9989407945934927,0.022156843842080127
local1000,random128_seed0,128,0,False,0,4,1680,44.91756634727452,0.9744533390311914,0.9988647564771952,0.021669631200953096
local1000,random128_seed0,128,0,False,0,5,2170,44.88237703412066,0.9888472279223143,0.9980822259980886,0.02198971862979626
local1000,random128_seed0,128,0,False,0,6,1722,44.82236319728825,0.9976826570921982,0.9967476544398389,0.02218619852672378
local1000,random128_seed0,128,0,False,0,7,795,44.77868528575567,0.9351096941815371,0.9957763567936326,0.020794717811215103
local1000,random128_seed0,128,0,False,0,8,182,44.81802218007107,0.9237226190038618,0.9966511200668059,0.020541495096823178
local1000,random128_seed0,128,0,False,0,9,13,44.65885277407954,0.6370482218694559,0.9931115536369343,0.014166506975961193
local1000,random128_seed0,128,0,False,20,1,197,3.5662570496269956,0.30400398183008404,1.0,0.08524455124789186
local1000,random128_seed0,128,0,False,20,2,441,5.132244256365558,0.5639512483283453,1.439112263907716,0.1581353336230574
local1000,random128_seed0,128,0,False,20,3,928,6.033290436599613,0.7306474661682787,1.6917710508923218,0.20487795916020665
local1000,random128_seed0,128,0,False,20,4,1680,6.611895062827231,0.8554605611966027,1.8540152801152645,0.23987630428549103
local1000,random128_seed0,128,0,False,20,5,2170,7.196708322968672,0.9234020026755634,2.0180004477583564,0.25892749452038083
local1000,random128_seed0,128,0,False,20,6,1722,7.914911147615145,0.9171080146861251,2.2193888543292153,0.2571626223022953
local1000,random128_seed0,128,0,False,20,7,795,8.715614255819013,0.8826719303686726,2.443910838320138,0.24750653642899736
local1000,random128_seed0,128,0,False,20,8,182,9.591695851069035,0.913963275037106,2.689569405007487,0.2562808183253924
local1000,random128_seed0,128,0,False,20,9,13,10.524885070613253,0.8093869102896408,2.9512412942062265,0.22695697450476734
local1000,random128_seed1,128,1,False,0,1,200,44.779646574632494,1.122805132388954,1.0,0.02507400612279551
local1000,random128_seed1,128,1,False,0,2,473,44.79094021086133,0.9760660423572632,1.000252204675399,0.021797091246142195
local1000,random128_seed1,128,1,False,0,3,1043,44.72279086822523,1.0095954231318167,0.9987303225738394,0.022545855100690966
local1000,random128_seed1,128,1,False,0,4,1865,44.76360135188017,1.0252708925429672,0.999641684917598,0.022895913008919983
local1000,random128_seed1,128,1,False,0,5,2253,44.75713650938806,1.0368766208110038,0.999497314807813,0.023155087190848682
local1000,random128_seed1,128,1,False,0,6,1578,44.77516541622335,1.0168993271499431,0.9998999286784974,0.022708962775200035
local1000,random128_seed1,128,1,False,0,7,547,44.750503186111665,1.0625906735771913,0.9993491822568931,0.02372932246810418
local1000,random128_seed1,128,1,False,0,8,135,44.55662396707691,1.0695687194595584,0.9950195540917484,0.023885153217476827
local1000,random128_seed1,128,1,False,0,9,31,44.32300592202808,1.0855148338365084,0.9898024953849659,0.024241255053840657
local1000,random128_seed1,128,1,False,0,10,3,43.81825916503069,0.47783003553860054,0.9785307057303478,0.010670696892219098
local1000,random128_seed1,128,1,False,20,1,200,3.4792641728720697,0.3060231432084865,1.0,0.08795628270901601
local1000,random128_seed1,128,1,False,20,2,473,4.903227084968682,0.6046495941277888,1.4092712830486673,0.17378662961043903
local1000,random128_seed1,128,1,False,20,3,1043,5.684161518813148,0.7979704892943655,1.6337251891169204,0.22935035962953493
local1000,random128_seed1,128,1,False,20,4,1865,6.23848656384207,0.9397241144309871,1.7930476830370463,0.2700927747188745
local1000,random128_seed1,128,1,False,20,5,2253,6.82639069145073,1.090597423034806,1.962021379312416,0.3134563427342562
local1000,random128_seed1,128,1,False,20,6,1578,7.644236451758025,1.3139059334221943,2.197084231591373,0.37763902599485244
local1000,random128_seed1,128,1,False,20,7,547,9.115337139987883,1.5514752579953415,2.619903717303345,0.4459205110357075
local1000,random128_seed1,128,1,False,20,8,135,11.006532627039379,1.1057186108101194,3.1634656295597368,0.317802430591917
local1000,random128_seed1,128,1,False,20,9,31,12.19972978891173,0.5208746393747665,3.506410891139972,0.14970827551297836
local1000,random128_seed1,128,1,False,20,10,3,12.892675224654647,0.29542879549236056,3.7055752550149066,0.08491128606899931
local1000,random128_seed2,128,2,False,0,1,178,44.80668563307023,0.8899221749825736,1.0,0.019861370293493736
local1000,random128_seed2,128,2,False,0,2,350,44.83595508592127,0.8964323805514953,1.0006532385164735,0.020006665699233737
local1000,random128_seed2,128,2,False,0,3,694,44.769348150839775,0.9239685240514558,0.9991666984133525,0.020621220047784727
local1000,random128_seed2,128,2,False,0,4,1248,44.75009485588351,0.9201671231321805,0.9987370014901313,0.020536380009617085
local1000,random128_seed2,128,2,False,0,5,1759,44.75486327811049,0.9183573934426499,0.9988434236045906,0.020495990285093586
local1000,random128_seed2,128,2,False,0,6,1764,44.72744778460015,0.9246581205512584,0.9982315619343289,0.020636610530032174
local1000,random128_seed2,128,2,False,0,7,1217,44.71125026023496,0.9463312705403281,0.9978700639985558,0.02112031401496643
local1000,random128_seed2,128,2,False,0,8,594,44.65758251245314,0.9546431511037508,0.9966723019453364,0.021305819379757077
local1000,random128_seed2,128,2,False,0,9,239,44.79924902847888,0.9171094025092624,0.9998340291301113,0.02046813750116738
local1000,random128_seed2,128,2,False,0,10,75,44.96389859289992,1.0059451518642732,1.0035086942407911,0.02245078245916544
local1000,random128_seed2,128,2,False,0,11,10,45.24792114143576,0.6887381443082867,1.0098475373067959,0.01537132538542314
local1000,random128_seed2,128,2,False,20,1,178,3.8477103637422285,0.3797939441797976,1.0,0.09870647951017171
local1000,random128_seed2,128,2,False,20,2,350,5.798543555008638,0.6115083558675946,1.507011444949057,0.15892785528504547
local1000,random128_seed2,128,2,False,20,3,694,6.938214377882663,0.8373783242124809,1.8032059905711444,0.21763029049776467
local1000,random128_seed2,128,2,False,20,4,1248,7.633851324237114,0.9864101463324566,1.9839984309038632,0.2563628893763948
local1000,random128_seed2,128,2,False,20,5,1759,8.255546511968413,1.028363506923043,2.145573791042626,0.2672663505583802
local1000,random128_seed2,128,2,False,20,6,1764,8.898228157203311,1.0212483244584838,2.3126034228181926,0.2654171514784268
local1000,random128_seed2,128,2,False,20,7,1217,9.658013738435708,1.0197160490323296,2.5100677611925186,0.2650189210293283
local1000,random128_seed2,128,2,False,20,8,594,10.616978804424539,0.9531130047816088,2.75929781629889,0.24770913470072747
local1000,random128_seed2,128,2,False,20,9,239,11.523986121341135,0.7597945005381187,2.995024321459859,0.19746665645569886
local1000,random128_seed2,128,2,False,20,10,75,12.225862495082847,0.67440967079337,3.177438356662622,0.17527558132973625
local1000,random128_seed2,128,2,False,20,11,10,12.86746499857146,0.43059774054812194,3.3441875250861517,0.11191012312302236
local1000,random256_seed0,256,0,False,0,1,369,44.83683705126484,1.0336826442173224,1.0,0.023054316767158366
local1000,random256_seed0,256,0,False,0,2,767,44.79286718162081,0.9961929532470274,0.9990193360518772,0.022218180825467594
local1000,random256_seed0,256,0,False,0,3,1592,44.83262896463553,0.975364948096363,0.9999061466663116,0.021753651957678585
local1000,random256_seed0,256,0,False,0,4,3057,44.816946158991826,0.9702042775121249,0.9995563716448091,0.021638553058567177
local1000,random256_seed0,256,0,False,0,5,5250,44.823111079109296,0.9794833794833879,0.9996938684113724,0.02184550570245358
local1000,random256_seed0,256,0,False,0,6,7311,44.80921695070607,0.9736033679870942,0.999383986418864,0.021714363278433554
local1000,random256_seed0,256,0,False,0,7,7292,44.82904302739273,0.9825451816448977,0.9998261691862163,0.021913793350799717
local1000,random256_seed0,256,0,False,0,8,4654,44.85300511755433,0.9851395325641421,1.0003605978332282,0.02197165539214483
local1000,random256_seed0,256,0,False,0,9,1837,44.87141460767191,0.9993865787476368,1.000771186343219,0.022289408541574286
local1000,random256_seed0,256,0,False,0,10,435,44.77891687696405,0.9856681858057492,0.9987082011553454,0.021983445992828875
local1000,random256_seed0,256,0,False,0,11,71,44.57325546211667,0.9926419976997223,0.9941213161658393,0.022138983545265938
