case,phase,graph_distance,pairs,latent_mean,latent_sd
random512_seed0,initial,1,767,44.82751050793461,1.019714606699698
random512_seed0,initial,2,1709,44.791547038772215,0.9699393817109808
random512_seed0,initial,3,3863,44.778542519590175,1.0091190427573866
random512_seed0,initial,4,8304,44.805187006983864,0.9926399708850111
random512_seed0,initial,5,16348,44.80293851192384,1.0054575786796989
random512_seed0,initial,6,27065,44.80021082903579,1.0049817056866286
random512_seed0,initial,7,33193,44.81093171006134,1.0011851503802611
random512_seed0,initial,8,25781,44.80418069906371,0.9927892841514844
random512_seed0,initial,9,11031,44.8078839321954,0.9903421113302922
random512_seed0,initial,10,2456,44.80787985984952,0.9628888671286161
random512_seed0,initial,11,288,44.86473542955369,0.8416381615162536
random512_seed0,initial,12,11,45.416002470677796,0.5680643291331986
random512_seed0,final,1,767,3.675417373079291,0.2759961398505649
random512_seed0,final,2,1709,5.330379190845664,0.5487353918720893
random512_seed0,final,3,3863,6.2251018975927455,0.7728248245150141
random512_seed0,final,4,8304,6.728485117435208,0.9120215259593685
random512_seed0,final,5,16348,7.053481095234932,0.9951198047229108
random512_seed0,final,6,27065,7.348198741329884,1.0501987742755896
random512_seed0,final,7,33193,7.72454759599152,1.088405943451699
random512_seed0,final,8,25781,8.28044515206065,1.1122846212508926
random512_seed0,final,9,11031,9.049610497710246,1.0948315213851054
random512_seed0,final,10,2456,9.977239133569743,1.0238802790659978
random512_seed0,final,11,288,10.943282489429844,0.9113967696075546
random512_seed0,final,12,11,11.727032954126512,0.5921653365082884
random512_seed1,initial,1,758,44.7271039556034,0.9901029200609642
random512_seed1,initial,2,1663,44.76287410648447,1.0025559078616206
random512_seed1,initial,3,3651,44.7051336492152,0.9958078819251537
random512_seed1,initial,4,7625,44.706964467126205,0.998729677666778
random512_seed1,initial,5,14715,44.71511252110399,0.9949015936245694
random512_seed1,initial,6,24619,44.71123527482736,0.9923120852862208
random512_seed1,initial,7,31380,44.70207027189779,1.0063765779851164
random512_seed1,initial,8,26684,44.700994601325995,1.0119089670923624
random512_seed1,initial,9,13598,44.69013344055814,1.0218136945220997
random512_seed1,initial,10,4537,44.69477497362552,1.020730190629736
random512_seed1,initial,11,1268,44.75864952490165,1.0419346612849676
random512_seed1,initial,12,275,44.70713037880521,0.9924580222023595
random512_seed1,initial,13,32,44.85849436534349,0.9480427714547114
random512_seed1,initial,14,9,44.82727486496859,1.0775450218084701
random512_seed1,initial,15,2,45.224297053538606,1.3158273905983613
random512_seed1,final,1,758,3.702907805844995,0.2904490901406449
random512_seed1,final,2,1663,5.394612092995197,0.5653677763258792
random512_seed1,final,3,3651,6.332630652037515,0.773415857009923
random512_seed1,final,4,7625,6.850796094818091,0.9083891800181128
random512_seed1,final,5,14715,7.1777201530024435,0.9870972987151989
random512_seed1,final,6,24619,7.4577005383266215,1.043722890505767
random512_seed1,final,7,31380,7.8012787169049504,1.1128776067544948
random512_seed1,final,8,26684,8.312000023955491,1.2249497125670379
random512_seed1,final,9,13598,9.12197225310326,1.3915891433969512
random512_seed1,final,10,4537,10.398417742859463,1.5119552522440667
random512_seed1,final,11,1268,11.85206095593872,1.3011181409401222
random512_seed1,final,12,275,12.930490621215414,1.0267089617491991
random512_seed1,final,13,32,14.306582658657367,1.130549186042858
random512_seed1,final,14,9,15.524383503693343,0.7403296534414254
random512_seed1,final,15,2,15.74402483169966,0.42943697106180956
random512_seed2,initial,1,753,44.65539591595093,0.9766246793576807
random512_seed2,initial,2,1631,44.66683381753333,0.9944814144812019
random512_seed2,initial,3,3537,44.72656629607642,0.962643860270214
random512_seed2,initial,4,7369,44.687908766259795,0.9850476022195026
random512_seed2,initial,5,14245,44.693233964925675,0.9819894484444995
random512_seed2,initial,6,23887,44.69114386541571,0.9793361520889293
random512_seed2,initial,7,31244,44.68802973446301,0.9853581999637115
random512_seed2,initial,8,27283,44.70737444095712,0.9883388242264313
random512_seed2,initial,9,14702,44.6793720228189,0.9757720514471275
random512_seed2,initial,10,4949,44.64168033295585,0.9721440846982711
random512_seed2,initial,11,1060,44.58035773826851,0.8933937605058196
random512_seed2,initial,12,141,44.559384929361194,0.9426830045731336
random512_seed2,initial,13,15,44.36717560959777,0.9587590784384075
random512_seed2,final,1,753,3.7385182172550993,0.3136560489409095
random512_seed2,final,2,1631,5.454330518830401,0.6211230824611781
random512_seed2,final,3,3537,6.408854572810209,0.8575532628899474
random512_seed2,final,4,7369,6.952048507017948,1.0023692030093112
random512_seed2,final,5,14245,7.3011430046410455,1.09679828350601
random512_seed2,final,6,23887,7.603000782708624,1.1657207885218088
random512_seed2,final,7,31244,7.984948107927722,1.2155081245890482
random512_seed2,final,8,27283,8.563905294180401,1.2868926804146605
random512_seed2,final,9,14702,9.403520484991448,1.398246157490128
random512_seed2,final,10,4949,10.54217285176675,1.4568150651245366
random512_seed2,final,11,1060,11.851189111818742,1.3616609105539228
random512_seed2,final,12,141,13.15629835105351,1.1107966944593004
random512_seed2,final,13,15,14.151736265793712,1.151783907068594
