name,case,nodes,seed,official_graph,state_dim,method,action_coverage,training_seconds,transition_mse,successor_accuracy,state_centered_rms,state_rms_ratio,minimum_pair_distance,spearman_initial,spearman,cosine_reach
gradient1000,random32_seed1,32,1,False,1000,full_gradient,1.0,1.3573225284926593,9.21226130592214e-11,1.0,0.05197536452620591,0.05252464329605122,1.4724530233811377,-0.032236948608931254,0.678576636052828,0.9798387096774194
gradient1000,random32_seed2,32,2,False,1000,full_gradient,1.0,1.4981420929543674,1.336647491502621e-11,1.0,0.0571178402800129,0.05805883425627553,1.5265469973800077,0.0017876703791234378,0.8076465714886922,1.0
gradient1000,random64_seed0,64,0,False,1000,full_gradient,1.0,2.696880619507283,8.764127496610815e-13,1.0,0.07463513707503072,0.07481251845202452,1.650975990784516,-0.04707509308149393,0.7875729777987014,0.9796626984126984
gradient1000,random64_seed1,64,1,False,1000,full_gradient,1.0,3.0634587998501956,1.918430161872209e-12,1.0,0.0681567749154448,0.06844540595936367,1.5717626901849873,-0.03647671393677299,0.7439385568550256,0.9241071428571429
gradient1000,random64_seed2,64,2,False,1000,full_gradient,1.0,2.7951040333136916,9.908355860446865e-13,1.0,0.08012684107692924,0.08059359594375934,1.756508357882942,0.023606763466881158,0.7770233498206538,0.8908730158730159
gradient1000,random128_seed0,128,0,False,1000,full_gradient,1.0,6.057412012014538,3.426235522295736e-12,1.0,0.07010135193618128,0.07012574678000254,1.621476295091662,-0.04234476527371643,0.6709886790036513,0.7271161417322834
gradient1000,random128_seed1,128,1,False,1000,full_gradient,1.0,5.458802475593984,1.4177184275194903e-11,1.0,0.06897221728310157,0.06917374383318421,1.66859729143914,-0.0039568402132736675,0.6554785453703189,0.8040723425196851
gradient1000,random128_seed2,128,2,False,1000,full_gradient,1.0,5.433614486828446,2.1610446464367201e-13,1.0,0.0838287321272015,0.08409700402284405,1.7145754186786026,-0.025167058440211106,0.7315336639835913,0.7640255905511811
gradient1000,random256_seed0,256,0,False,1000,full_gradient,1.0,11.010320015717298,2.8408563949199648e-12,1.0,0.08020167965851824,0.08015113604054279,1.676981009581664,0.00684932699336639,0.6258197271268828,0.5860140931372549
gradient1000,random256_seed1,256,1,False,1000,full_gradient,1.0,11.023224035277963,6.201261524508584e-12,1.0,0.07007626250628447,0.07022402384387555,1.5453750337322092,-0.028907352513043626,0.5603723275025946,0.5204656862745098
gradient1000,random256_seed2,256,2,False,1000,full_gradient,1.0,10.919834923930466,6.090436996636612e-12,1.0,0.07868072227060688,0.07886856389732531,1.5511652173258517,-0.016708216364158517,0.6217199395305562,0.533563112745098
gradient1000,random512_seed0,512,0,False,1000,full_gradient,1.0,21.930427244398743,5.971374866964946e-12,1.0,0.0759230927366895,0.07583705519726155,1.6591602132695322,0.0022930439531602897,0.5259756113708417,0.3498807485322896
gradient1000,random512_seed1,512,1,False,1000,full_gradient,1.0,22.130395436659455,2.0752069934933754e-12,1.0,0.07791137017806259,0.07799560356452652,1.6572581231011616,-0.007733384756828785,0.5436156198790896,0.3271694593933464
gradient1000,random512_seed2,512,2,False,1000,full_gradient,1.0,21.88225539214909,3.80247090270631e-12,1.0,0.07954539558768156,0.07965982732774583,1.6172463455472523,-0.004310835892665877,0.5541867223872884,0.3438608427103718
